Run, velocity(km/s), b(km/s), Temp(K), N_fit, upper_N_err, lower_N_err, q_fit, upper_q_err, lower_q_err, area, area_err
HC_v1700_chi1000_cond, 129.946, 1448.139, 1107052.183, 3.40655162118e+14, 910240133.562, 3.40654913334e+14, 0.498998287915, 21.8804480678, 1.1578992043e-08, 2.49781372638e+13, 18770.5703125
HC_v1700_chi1000_cond, 80.827, 2810.061, 2261650.702, 2.48977126582e+13, 443957.902344, 2.48973789472e+13, 22.4998283893, 0.0260468343142, 0.00413074894626, 2.96326946664e+11, 149.756499942
HC_v1700_chi1000_cond, 87.962, 2804.443, 1394591.475, 9.6150893635e+13, 1779364.4375, 9.61480235068e+13, 23.8811479363, 0.230672398623, 0.000359849460235, 1.13339176687e+12, 1175.58074206
HC_v3000_chi3000_cond, 36.733, 2719.907, 904401.063, 1.212672111e+15, 9125296.25, 1.21267210277e+15, 1.85484137598, 18.9840906259, 2.53383805049e-08, 3.78484784797e+13, 131315.466598
HC_v3000_chi3000_cond, 38.246, 2691.821, 884283.846, 1.03976263019e+15, 10105297.625, 1.03976240212e+15, 1.91635027294, 13.3370546315, 3.36170837834e-08, 3.18210923517e+13, 34107.532657
HC_v3000_chi3000_cond, 69.809, 2626.369, 949953.499, 5.61989125769e+14, 6233568.6875, 5.61988777355e+14, 6.25334165691, 8.23213408136, 6.34439631142e-06, 9.46829447837e+12, 46798.0318764
HC_v3000_chi3000_cond, 64.743, 2778.391, 1574205.69, 1.06690248136e+14, 1969561.26562, 1.06690076941e+14, 14.0243140621, 4.41220074363, 0.0117514839447, 1.39585124344e+12, 16103.2719522
LowCond_v1700_chi300_cond, 987.375, 654.101, 2616664.561, 5.04393415939e+13, 19160974.2344, 5.04391805936e+13, 0.740815376237, 28.0003160271, 1.5333294856e-08, 2.83915608137e+12, 8588.86816406
LowCond_v1700_chi300_cond, 479.738, 1138.948, 2028534.241, 1.54522315391e+14, 30194197.7812, 1.54512184592e+14, 0.376550214834, 6.85052397337, 3.9019039666e-09, 1.36730670775e+13, 91298.2148438
LowCond_v1700_chi300_cond, 496.2, 1113.402, 2258029.205, 8.09239572175e+13, 44479744.1094, 8.0919640025e+13, 0.298169153849, 19.4189764273, 2.60666621621e-09, 8.35577987663e+12, 21930.5078125
LowCond_v1700_chi300_cond, 745.526, 833.374, 2614658.469, 8.20395241171e+13, 374836194.266, 8.20296040231e+13, 0.893444344418, 15.6065344176, 1.82916399805e-08, 4.07775081273e+12, 43640.1897843
T0.3_v1700_chi300_cond, 143.791, 1538.011, 1320497.715, 7.28816308326e+13, 1117733762.58, 7.28232759377e+13, 0.130549101489, 12.0902419535, 2.29748695069e-09, 1.27274332952e+13, 87501.2714844
T0.3_v1700_chi300_cond, 340.841, 1296.491, 2286453.978, 7.82452907178e+13, 366760634.547, 7.82442438919e+13, 0.28176183522, 32.9153063001, 4.05754269073e-09, 8.38493880808e+12, 21453.9775391
T0.3_v1700_chi300_cond, 161.966, 1430.363, 2044574.107, 1.88939505293e+14, 94441034.7188, 1.88936452464e+14, 0.436129044077, 16.5619811548, 6.58671001075e-09, 1.51594035237e+13, 209660.941406
T0.3_v1700_chi300_cond, 224.731, 1365.873, 2707056.246, 9.43306359095e+13, 973059.578125, 9.43190167042e+13, 1.30399933609, 10.7172158781, 1.92063442928e-08, 3.66582881222e+12, 15814.8488567
T0.3_v3000_chi300_cond, 239.533, 2741.948, 881682.004, 9.16220172844e+14, 8917907.125, 9.16219531128e+14, 0.875495076305, 9.7977480578, 1.55358336196e-08, 4.61556778214e+13, 204654.389017
T0.3_v3000_chi300_cond, 104.681, 2886.114, 946383.716, 2.42372881127e+14, 82178232.4688, 2.42372509759e+14, 0.306594671786, 18.2078429797, 3.30748889388e-09, 2.45715126702e+13, 67517.640625
