Run, velocity(km/s), b(km/s), Temp(K), N_fit, upper_N_err, lower_N_err, q_fit, upper_q_err, lower_q_err, area, area_err
HC_v1700_chi1000_cond, 82.849, 58.287, 10188.248, 4.44104049665e+17, 3545963392.0, 4.44104049553e+17, 0.520133371085, 25.2521659142, 7.29292803925e-09, 3.16712838357e+16, 35506916.0
HC_v1700_chi1000_cond, 74.52, 74.187, 12666.679, 3.18539713746e+17, 8964348288.0, 3.18539713733e+17, 2.15784939075, 20.0068902761, 1.60277504246e-06, 9.08703771394e+15, 5824224.41835
HC_v1700_chi1000_cond, 75.127, 73.772, 12812.426, 3.05825895865e+17, 3771216768.0, 3.05825895821e+17, 2.09332246556, 16.293961271, 5.12117001694e-07, 8.88105213039e+15, 3980631.34505
HC_v3000_chi3000_cond, 37.638, 24.028, 26350.791, 7.37890118695e+17, 7817764352.0, 7.37890117955e+17, 0.465282437741, 29.1777828698, 1.01089135951e-08, 5.66980937362e+16, 22222384.0
HC_v3000_chi3000_cond, 38.788, 30.881, 17216.933, 1.44517518108e+18, 29349829888.0, 1.44517518108e+18, 1.58008031358, 30.4732667027, 3.75132753749e-08, 4.97602422577e+16, 638971980.513
HC_v3000_chi3000_cond, 57.048, 52.891, 16245.817, 1.53631587484e+18, 22181395712.0, 1.53631587484e+18, 2.59628326457, 24.3824204825, 6.57875576238e-08, 3.94326618497e+16, 31974336.6781
HC_v3000_chi3000_cond, 62.321, 61.5, 11541.129, 7.40582749984e+17, 12478524928.0, 7.40582749959e+17, 2.4560419008, 21.9233712532, 1.18455108833e-07, 1.96107691759e+16, 12219900.3435
LowCond_v1700_chi300_cond, 49.332, 53.458, 5368.525, 1.63722506348e+17, 1591900416.0, 1.63722506308e+17, 1.60066361282, 18.2594011954, 3.38781769305e-08, 5.5921955044e+15, 58791959.9342
LowCond_v1700_chi300_cond, 68.084, 57.348, 9811.37, 1.27310090079e+17, 1227338048.0, 1.27310089442e+17, 1.81220530148, 13.0615687166, 1.4921316871e-07, 4.02974645623e+15, 26040469.6423
LowCond_v1700_chi300_cond, 77.474, 76.538, 11110.879, 8.38608763137e+16, 1336544560.0, 8.38608763002e+16, 1.61377894068, 16.8023564682, 1.43230660221e-07, 2.84995481955e+15, 26630020.5474
LowCond_v1700_chi300_cond, 120.04, 107.592, 11963.284, 3.52865248074e+16, 349851040.0, 3.52865236369e+16, 1.45567419125, 10.7621466021, 2.8765236193e-08, 1.27890233977e+15, 12899533.0381
T0.3_v1700_chi300_cond, 23.652, 30.365, 11919.595, 7.868265289e+15, 1.39801056407e+13, 7.86826512354e+15, 0.0255865824528, 40.0138499579, 3.27817849942e-07, 3.27955937899e+15, 1451646.0
T0.3_v1700_chi300_cond, 46.396, 40.213, 7241.654, 6.21674090742e+16, 862184048.0, 6.21674090713e+16, 0.727101335415, 20.8708738184, 1.73294036898e-08, 3.54319052663e+15, 12474338.0
T0.3_v1700_chi300_cond, 64.633, 62.568, 9653.199, 1.10218850171e+17, 642476144.0, 1.10218849727e+17, 2.01515488779, 20.6230794396, 2.76303295799e-08, 3.27349910747e+15, 214649.572517
T0.3_v1700_chi300_cond, 79.827, 77.599, 9524.554, 1.24812521386e+17, 1507453296.0, 1.24812521269e+17, 3.89907716569, 14.7650833972, 1.33706678618e-07, 2.58943326934e+15, 24703.6656749
T0.3_v3000_chi300_cond, 18.044, 39.535, 13144.253, 5.18928182651e+15, 1.04968223498e+13, 5.18928182313e+15, 0.0107385620158, 50.7825988612, 0.00019729412791, 3.02894090909e+15, 1990444.5
T0.3_v3000_chi300_cond, 81.726, 86.081, 14012.075, 1.64894733035e+16, 163457146.0, 1.64894731185e+16, 0.116514244775, 38.6132259299, 2.20140677909e-09, 3.08497157696e+15, 23488147.5
